camera_id,district,department,nearest_station,camera_type,vendor,ownership,latitude,longitude,storage_type,retention_days,install_year,connectivity_status,is_synthetic
CAM00001,Ahmedabad City,Home Department - Police,Airport,IP Bullet,CP Plus,Government,23.07639,72.624545,Cloud,30,2019,Offline,TRUE
CAM00002,Ahmedabad City,Home Department - Police,Airport,IP Dome,CP Plus,Government,23.076346,72.623969,Cloud,30,2016,Offline,TRUE
CAM00003,Ahmedabad City,Home Department - Police,Airport,IP PTZ,CP Plus,Government,23.076238,72.623568,Local NVR,30,2024,Active,TRUE
CAM00004,Ahmedabad City,Home Department - Police,Airport,IP PTZ,Dahua,Government,23.077647,72.623222,Local NVR,7,2018,Active,TRUE
CAM00005,Ahmedabad City,Home Department - Police,Amraiwadi,Analog PTZ,Honeywell,Government,23.006068,72.624659,Local NVR,7,2021,Maintenance,TRUE
CAM00006,Ahmedabad City,Home Department - Police,Amraiwadi,IP Dome,Honeywell,Government,23.006849,72.625727,Local NVR,30,2022,Offline,TRUE
CAM00007,Ahmedabad City,Home Department - Police,Amraiwadi,IP Dome,Hikvision,Government,23.007478,72.624626,Cloud,15,2019,Active,TRUE
CAM00008,Ahmedabad City,Home Department - Police,Anandnagar,Analog PTZ,CP Plus,Government,23.024303,72.532916,Local NVR,15,2023,Active,TRUE
CAM00009,Ahmedabad City,Home Department - Police,Anandnagar,Analog Dome,CP Plus,Government,23.023949,72.533495,Cloud,7,2017,Maintenance,TRUE
CAM00010,Ahmedabad City,Home Department - Police,Bapunagar,IP Bullet,Dahua,Government,23.031954,72.632031,Cloud,7,2024,Active,TRUE
CAM00011,Ahmedabad City,Home Department - Police,Bapunagar,IP Bullet,Honeywell,Government,23.032917,72.631087,Local NVR,7,2017,Maintenance,TRUE
CAM00012,Ahmedabad City,Home Department - Police,Bapunagar,IP Bullet,Dahua,Government,23.03218,72.632011,Cloud,7,2023,Offline,TRUE
CAM00013,Ahmedabad City,Home Department - Police,Bodakdev,IP PTZ,Dahua,Government,23.036673,72.516452,Cloud,7,2025,Offline,TRUE
CAM00014,Ahmedabad City,Home Department - Police,Bodakdev,IP Bullet,CP Plus,Government,23.037088,72.51676,Local NVR,30,2017,Active,TRUE
CAM00015,Ahmedabad City,Home Department - Police,Bodakdev,Analog Dome,Dahua,Government,23.036893,72.516473,Cloud,30,2023,Active,TRUE
CAM00016,Ahmedabad City,Home Department - Police,Bodakdev,Analog PTZ,Hikvision,Government,23.037427,72.516367,Local NVR,15,2020,Active,TRUE
CAM00017,Ahmedabad City,Home Department - Police,Chandkheda,Analog Dome,CP Plus,Government,23.113933,72.581382,Cloud,30,2020,Active,TRUE
CAM00018,Ahmedabad City,Home Department - Police,Chandkheda,IP Bullet,Dahua,Government,23.115442,72.580996,Cloud,30,2019,Offline,TRUE
CAM00019,Ahmedabad City,Home Department - Police,Chandkheda,IP Dome,Hikvision,Government,23.11558,72.58116,Local NVR,15,2023,Active,TRUE
CAM00020,Ahmedabad City,Home Department - Police,Danilimda,IP Dome,Bosch,Government,22.997215,72.579905,Cloud,30,2017,Active,TRUE
CAM00021,Ahmedabad City,Home Department - Police,Danilimda,IP Bullet,Dahua,Government,22.997012,72.57974,Local NVR,7,2024,Offline,TRUE
CAM00022,Ahmedabad City,Home Department - Police,Dariapur,Analog PTZ,Bosch,Government,23.035236,72.596463,Local NVR,7,2022,Active,TRUE
CAM00023,Ahmedabad City,Home Department - Police,Dariapur,Analog Dome,CP Plus,Government,23.034398,72.595789,Cloud,7,2025,Active,TRUE
CAM00024,Ahmedabad City,Home Department - Police,Dariapur,IP Dome,Dahua,Government,23.035268,72.595286,Cloud,30,2017,Active,TRUE
CAM00025,Ahmedabad City,Home Department - Police,Dariapur,IP Bullet,Honeywell,Government,23.034495,72.596054,Local NVR,7,2024,Maintenance,TRUE
CAM00026,Ahmedabad City,Home Department - Police,Ellisbridge,Analog PTZ,Bosch,Government,23.022191,72.570889,Local NVR,15,2022,Active,TRUE
CAM00027,Ahmedabad City,Home Department - Police,Ellisbridge,IP Dome,Bosch,Government,23.02306,72.572486,Local NVR,7,2017,Active,TRUE
CAM00028,Ahmedabad City,Home Department - Police,Ellisbridge,IP PTZ,CP Plus,Government,23.022193,72.57168,Local NVR,15,2018,Active,TRUE
CAM00029,Ahmedabad City,Home Department - Police,Gaikwad Haveli,IP Dome,Hikvision,Government,23.016098,72.580395,Cloud,7,2024,Active,TRUE
CAM00030,Ahmedabad City,Home Department - Police,Gaikwad Haveli,IP PTZ,Hikvision,Government,23.015599,72.579719,Cloud,15,2019,Active,TRUE
CAM00031,Ahmedabad City,Home Department - Police,Ghatlodia,Analog PTZ,Bosch,Government,23.057186,72.543909,Local NVR,7,2023,Active,TRUE
CAM00032,Ahmedabad City,Home Department - Police,Ghatlodia,Analog Dome,Hikvision,Government,23.057243,72.544242,Local NVR,7,2025,Active,TRUE
CAM00033,Ahmedabad City,Home Department - Police,Ghatlodia,IP Bullet,Hikvision,Government,23.057761,72.543403,Cloud,7,2024,Active,TRUE
CAM00034,Ahmedabad City,Home Department - Police,Gomtipur,IP Dome,Honeywell,Government,23.020201,72.612998,Cloud,30,2022,Offline,TRUE
CAM00035,Ahmedabad City,Home Department - Police,Gomtipur,Analog Dome,Honeywell,Government,23.020151,72.611595,Local NVR,15,2025,Active,TRUE
CAM00036,Ahmedabad City,Home Department - Police,Gomtipur,IP PTZ,CP Plus,Government,23.021285,72.612013,Local NVR,15,2020,Active,TRUE
CAM00037,Ahmedabad City,Home Department - Police,Gomtipur,IP PTZ,Honeywell,Government,23.021751,72.613131,Cloud,7,2016,Offline,TRUE
CAM00038,Ahmedabad City,Home Department - Police,Gujarat University,IP Dome,CP Plus,Government,23.03521,72.53907,Local NVR,15,2021,Active,TRUE
CAM00039,Ahmedabad City,Home Department - Police,Gujarat University,Analog Dome,Honeywell,Government,23.035088,72.53981,Cloud,30,2020,Offline,TRUE
CAM00040,Ahmedabad City,Home Department - Police,Isanpur,Analog PTZ,Hikvision,Government,22.993805,72.59568,Cloud,30,2018,Offline,TRUE
CAM00041,Ahmedabad City,Home Department - Police,Isanpur,Analog PTZ,CP Plus,Government,22.992408,72.596001,Local NVR,30,2019,Maintenance,TRUE
CAM00042,Ahmedabad City,Home Department - Police,Isanpur,IP Dome,Bosch,Government,22.99258,72.597129,Local NVR,7,2016,Active,TRUE
CAM00043,Ahmedabad City,Home Department - Police,Kagadapith,IP Bullet,Bosch,Government,23.01866,72.598325,Local NVR,30,2020,Active,TRUE
CAM00044,Ahmedabad City,Home Department - Police,Kagadapith,Analog Dome,Hikvision,Government,23.017473,72.598879,Local NVR,30,2018,Offline,TRUE
CAM00045,Ahmedabad City,Home Department - Police,Kagadapith,Analog PTZ,Hikvision,Government,23.017539,72.597407,Local NVR,7,2020,Active,TRUE
CAM00046,Ahmedabad City,Home Department - Police,Kalupur,Analog Dome,CP Plus,Government,23.027481,72.594368,Cloud,7,2022,Active,TRUE
CAM00047,Ahmedabad City,Home Department - Police,Kalupur,IP PTZ,CP Plus,Government,23.028883,72.593009,Local NVR,7,2021,Active,TRUE
CAM00048,Ahmedabad City,Home Department - Police,Kalupur,IP Bullet,CP Plus,Government,23.027985,72.593034,Local NVR,15,2023,Active,TRUE
CAM00049,Ahmedabad City,Home Department - Police,Kalupur,IP Dome,CP Plus,Government,23.028773,72.594532,Local NVR,15,2019,Active,TRUE
CAM00050,Ahmedabad City,Home Department - Police,Karanj,IP PTZ,Honeywell,Government,23.025335,72.581667,Local NVR,7,2024,Active,TRUE
CAM00051,Ahmedabad City,Home Department - Police,Karanj,Analog PTZ,Hikvision,Government,23.025174,72.581635,Cloud,30,2025,Maintenance,TRUE
CAM00052,Ahmedabad City,Home Department - Police,Khadia,Analog Dome,Hikvision,Government,23.017691,72.593964,Local NVR,30,2025,Active,TRUE
CAM00053,Ahmedabad City,Home Department - Police,Khadia,Analog Dome,Honeywell,Government,23.016839,72.594675,Cloud,15,2016,Maintenance,TRUE
CAM00054,Ahmedabad City,Home Department - Police,Khadia,Analog Dome,Dahua,Government,23.016506,72.594595,Cloud,30,2021,Active,TRUE
CAM00055,Ahmedabad City,Home Department - Police,Khokhara,Analog PTZ,Honeywell,Government,22.99392,72.620706,Cloud,7,2022,Maintenance,TRUE
CAM00056,Ahmedabad City,Home Department - Police,Khokhara,Analog Dome,Honeywell,Government,22.99456,72.620653,Local NVR,15,2018,Offline,TRUE
CAM00057,Ahmedabad City,Home Department - Police,Khokhara,IP PTZ,Honeywell,Government,22.994864,72.620518,Local NVR,15,2019,Maintenance,TRUE
CAM00058,Ahmedabad City,Home Department - Police,Khokhara,IP Bullet,Hikvision,Government,22.994159,72.620356,Local NVR,30,2023,Offline,TRUE
CAM00059,Ahmedabad City,Home Department - Police,Krishnanagar,Analog PTZ,CP Plus,Government,23.073806,72.655599,Cloud,7,2019,Active,TRUE
CAM00060,Ahmedabad City,Home Department - Police,Krishnanagar,IP Dome,Bosch,Government,23.073721,72.655656,Local NVR,30,2025,Offline,TRUE
CAM00061,Ahmedabad City,Home Department - Police,Krishnanagar,IP PTZ,CP Plus,Government,23.073988,72.655138,Cloud,30,2023,Active,TRUE
CAM00062,Ahmedabad City,Home Department - Police,Madhavpura,IP PTZ,Hikvision,Government,23.04347,72.581702,Cloud,7,2024,Maintenance,TRUE
CAM00063,Ahmedabad City,Home Department - Police,Madhavpura,Analog Dome,Honeywell,Government,23.042309,72.582144,Local NVR,15,2024,Offline,TRUE
CAM00064,Ahmedabad City,Home Department - Police,Mahila West,IP PTZ,CP Plus,Government,23.029863,72.541232,Local NVR,15,2024,Active,TRUE
CAM00065,Ahmedabad City,Home Department - Police,Mahila West,Analog Dome,Bosch,Government,23.02961,72.541976,Cloud,15,2020,Maintenance,TRUE
CAM00066,Ahmedabad City,Home Department - Police,Mahila West,Analog PTZ,Dahua,Government,23.028396,72.540978,Cloud,7,2020,Active,TRUE
CAM00067,Ahmedabad City,Home Department - Police,Mahila West,IP Dome,Bosch,Government,23.028673,72.541713,Local NVR,15,2019,Offline,TRUE
CAM00068,Ahmedabad City,Home Department - Police,Mahila East,IP PTZ,Honeywell,Government,23.054703,72.594317,Cloud,30,2022,Maintenance,TRUE
CAM00069,Ahmedabad City,Home Department - Police,Mahila East,IP PTZ,Bosch,Government,23.054814,72.595642,Cloud,15,2020,Active,TRUE
CAM00070,Ahmedabad City,Home Department - Police,Mahila East,Analog PTZ,Bosch,Government,23.054446,72.594819,Cloud,15,2022,Active,TRUE
CAM00071,Ahmedabad City,Home Department - Police,Maninagar,Analog Dome,Hikvision,Government,22.998747,72.602915,Cloud,30,2025,Maintenance,TRUE
CAM00072,Ahmedabad City,Home Department - Police,Maninagar,Analog PTZ,Bosch,Government,22.99803,72.602114,Local NVR,7,2016,Maintenance,TRUE
CAM00073,Ahmedabad City,Home Department - Police,Maninagar,Analog PTZ,Bosch,Government,22.998374,72.602653,Local NVR,7,2022,Maintenance,TRUE
CAM00074,Ahmedabad City,Home Department - Police,Maninagar,IP Bullet,Hikvision,Government,22.997821,72.602254,Cloud,7,2021,Active,TRUE
