s_no,district,station_name,address,latitude,longitude
1,Ahmedabad City,Airport,"Airport Terminal 2, Sardarnagar",23.07709,72.62411
2,Ahmedabad City,Amraiwadi,"Amraiwadi gam near jognimata temple, Ahemedabad",23.006784,72.624875
3,Ahmedabad City,Anandnagar,"Near stachu of jhashi ki rani shivranjani char rasta nehrunagar, Ahemedabad",23.023643,72.533132
4,Ahmedabad City,Bapunagar,"Opp Siddhivinayak ganesh temple ,bapunagar ,Ahemedabad",23.032368,72.631265
5,Ahmedabad City,Bodakdev,,23.0371,72.5163
6,Ahmedabad City,Chandkheda,"Bun.1813,1814, IOC ROAD CHANDKHEDA AHMEDABAD",23.114827,72.580982
7,Ahmedabad City,Danilimda,"Near danilimada char rasta danilimada, Ahemedabad",22.997681,72.579784
8,Ahmedabad City,Dariapur,"Near pashupalan hospital prem darwaja,dariyapur, Ahemedabad",23.034894,72.59608
9,Ahmedabad City,Ellisbridge,"Opp townholl.ellisbrige, Ahemedabad",23.022748,72.571615
10,Ahmedabad City,Gaikwad Haveli,"Near Ga.haveli po.line jamalpur, Ahemedabad",23.0162,72.579745
11,Ahmedabad City,Ghatlodia,"Aakash Ganga Flats, Sola Road, Ghatlodia, Ahemedabad",23.057609,72.543398
12,Ahmedabad City,Gomtipur,"Opp Patel Mill, gomatipur, Ahemedabad",23.020979,72.612347
13,Ahmedabad City,Gujarat University,"Director house-2 guj. uni campus, Ahemedabad",23.035199,72.539732
14,Ahmedabad City,Isanpur,"Opp,Kharikat Canal, Gohodasar, Isanpura, Ahmedabad",22.993028,72.596394
15,Ahmedabad City,Kagadapith,"Opp new cloth market gate-3,raipur,Ahemedabad",23.018172,72.598078
16,Ahmedabad City,Kalupur,"Nr, GULABBAI HOSPITAL, NR. KALUPUR TOWER, RELIEF ROAD,AHMEDABAD PIN
CODE :- 3 8 0 0 0 1",23.028196,72.593864
17,Ahmedabad City,Karanj,"Karanj bhavan bhadra laldarwaja, Ahemedabad",23.024495,72.582065
18,Ahmedabad City,Khadia,"Near Raipur darawaja ,Raipur,Ahemedabad",23.01728,72.594299
19,Ahmedabad City,Khokhara,"Opp. Babavaad na Chapra, Near Lalbhai Center, Bhaipura Road, khokhra,
Ahmedabad city - 380008",22.994263,72.620871
20,Ahmedabad City,Krishnanagar,"Old naroda police station,Ahemedabad",23.074538,72.654785
21,Ahmedabad City,Madhavpura,"Near ramdevpir temple mehdikuwa, Ahemedabad",23.042969,72.582208
22,Ahmedabad City,Mahila West,"Swayambhu Shivani Rd Panjara Pol, Ambawadi Ahmedabad, Gujarat 380015",23.029157,72.541364
23,Ahmedabad City,Mahila East,Near Shahibaug Police Station,23.054855,72.594845
24,Ahmedabad City,Maninagar,"Rambag, Maninagar",22.998686,72.602183
25,Ahmedabad City,Meghaninagar,"Blok no-141 near meghaninagar bas stand,Ahemedabad",23.057766,72.617678
26,Ahmedabad City,Naranpura,"Near Nirnaynagar Over Bridge, 132 Feet Ring Road, Vijaynagar, Naranpura,
Ahmedabad, Gujarat 380031",23.063415,72.566202
27,Ahmedabad City,Naroda,"Near Amts bas stand naroda,Ahemedabad",23.078327,72.656366
28,Ahmedabad City,Navrangpura,"Near navarangpura relway crossing navarangpura, Ahemedabad",23.034954,72.567247
29,Ahmedabad City,Nikol,Vrundavan farm nikol Ahemedabad,23.044163,72.677122
30,Ahmedabad City,Odhav,"Sardar Patel Ring Road, Odhav, Ahmedabad",23.026285,72.67386
31,Ahmedabad City,Paldi,"Near anjali char rasta gu.gram hat bhavan, paldi,Ahemedabad",23.005157,72.552633
32,Ahmedabad City,Rakhial,"Opp monogram mill rakhiyal char rasta, Ahemedabad",23.021605,72.622932
33,Ahmedabad City,Ramol,"Mahadev esatate opp khanvadi ramol, Ahemedabad",22.989346,72.642314
34,Ahmedabad City,Ranip,"Opp. Bakra Mandi, Maganpura, Ranip, Ahmedabad",23.080446,72.577928
35,Ahmedabad City,Sabarmati,"Near old toltax ramnagar, sabar mati, Ahemedabad",23.085374,72.591766
36,Ahmedabad City,Sardarnagar,Abavadi circle saradarnagar Ahemedabad,23.084298,72.637306
37,Ahmedabad City,Satellite,"Near ramdevnagar char rasta satellite, Ahemedabad",23.027524,72.511017
